name,phone,company,date,investsmentId,investmentType,investment
Benedikta Reuble,+46 (111) 641-8385, zoombeat ,12.3.2021,17,D,  $569.42
Maressa Pavlishchev,+62 (350) 377-8621,Devbug,25.2.2021,97,E,$325.30
"Plews, Aaron",+55 (240) 137-2969,Jayo,3.3.2020,53,A,$431.35
dorthea linsey,+63 (484) 875-0848,Zoombeat,2.1.2019,66,D,$743.90
"Dawdary, Gae",+62 (715) 824-2951,Topdrive,12.4.2019,47,G, $ 366.14
Stanfield Skocroft,+63 (637) 795-7541,Fivebridge,19.3.2020,3,E,$717.55
"Brito, Gaven",+51 (870) 799-1508,Feednation    ,4.8.2019,56,A,$215.03
Missy Folomkin,+33 (962) 798-0776,Feednation,10.1.2019,78,D,$ 291.94
ELFREDA SHRUBB,+62 (295) 637-4199,Yambee,5.1.2020,6,D,$414.21
Hanna Toffetto,+252 (676) 138-4687,LIVEPATH,23.4.2021,89,F,$742.87
"Lauthian, Henrietta",+49 (564) 306-9564,Devbug,27.11.2019,59,D,$ 427.28
"Skocroft, Stanfield",+63 (637) 795-7541,Fivebridge,25.3.2019,1,F,$597.09
Lek Leades,+1 (351) 584-7386,Yambee,2.11.2019,8,C,$861.73
"Sperrett, Kerr",+55 (375) 321-7647,Yambee,14.3.2019,21,E,$697.49
"Dunseith, Corine",+63 (797) 344-2571,,9.4.2019,77,D,$322.76
Henryetta Higgan,+46 (322) 206-9391,Zoombeat  ,23.1.2021,42,E,$208.54
Gae Dawdary,+62 (715) 824-2951,Topdrive,20.1.2019,39,E,$349.35
Elfreda Shrubb,+62 (295) 637-4199,Yambee,16.3.2021,84,C,$750.99
Benedikta Reuble,+46 (111) 641-8385, Zoombeat,29.10.2020,26,E,$ 482.87
Kerr Sperrett,+55 (375) 321-7647,Yambee,27.8.2020,9,E,$729.43
"Leades, Lek",+1 (351) 584-7386,Yambee,29.1.2020,19,D,$837.39
"eble, urbanus",+57 (130) 336-4134,Zoombeat,23.8.2020,80,B,$460.40
Benedikta Reuble,+46 (111) 641-8385,Zoombeat,28.4.2019,32,C,$700.67
"Gallamore, Eleanor",+86 (366) 702-2334,Mydo,3.2.2019,70,F,$167.10
"grevile, jase",NULL,,6.1.2021,73,F,$230.35
Benedikta Reuble,NULL, Zoombeat,29.10.2020,26,E,$ 482.87
"Malkie, Thia",+46 (564) 145-8997,Devbug  ,13.9.2020,61,D,$494.50
"Gallamore, Eleanor",+86 (366) 702-2334,MYDO,1.9.2020,40,A, $110.21
"Grevile, Jase",+81 (865) 199-4601,Mydo  ,18.4.2020,4,G, $534.11
"Malkie, Thia",+46 (564) 145-8997,Devbug  ,13.9.2020,61,D,$494.50
Maressa Pavlishchev,+62 (350) 377-8621,DEVBUG ,15.1.2021,46,C,$626.53
Hanna Toffetto,+252 (676) 138-4687,Livepath,7.10.2020,45,B,$ 224.95
"Szymanowicz, Hersch",+237 (561) 702-4118,Fivebridge,28.1.2021,98,B,$841.75
"TAUNTON., GIUSEPPE",+60 (962) 580-0623,Devbug,24.4.2019,31,E,$536.77
Henrietta Lauthian,+49 (564) 306-9564,,29.2.2020,35,C,$526.46
Maressa Pavlishchev,+62 (350) 377-8621,devbug ,26.4.2020,15,A,$197.18
Elfreda Shrubb,+62 (295) 637-4199,Yambee,21.4.2021,2,A,$678.92
"Plews, Aaron",+55 (240) 137-2969,Jayo,3.3.2020,53,A,$431.35
"Folomkin, Missy",+33 (962) 798-0776,Feednation,6.6.2021,62,C, $464.78
Gae Dawdary,+62 (715) 824-2951,Topdrive,20.1.2019,39,E,$349.35
"Lawrence, Ramon",+66 (557) 865-3845,Jayo,2.2.2021,71,D,$700.26
"Folomkin, Missy",+33 (962) 798-0776,Feednation,11.6.2021,49,A, $ 457.33
Maressa Pavlishchev,+62 (350) 377-8621,Devbug,25.1.2021,5,C,$718.75
"chessell, hussein",+62 (690) 516-9418,Mydo,10.12.2019,99,A,$888.33
"Gallamore, Eleanor",NULL,Mydo,3.2.2019,70,F,$167.10
"grevile, jase",+81 (865) 199-4601,Mydo,6.1.2021,73,F,$230.35
Thia Malkie,NULL,Devbug,12.1.2019,11,D, $364.54
Normand Meaking,+86 (552) 935-1873,Jayo ,19.10.2020,60,F,$604.85
Roberta Camelin,+62 (192) 870-2062,Fivebridge,20.1.2021,88,B,$840.21
"Meaking, Normand",+86 (552) 935-1873,Jayo,23.5.2019,65,G,$ 327.28
"Lawrence, Ramon",+66 (557) 865-3845,Jayo,2.2.2021,71,D,$700.26
ERICK LEGGAN,+98 (396) 812-9975,,12.4.2019,74,C,$584.58
"Orman, Jyoti",+52 (520) 447-3845,Fivebridge,29.4.2020,13,F,$724.06
Normand Meaking,+86 (552) 935-1873,,5.5.2019,7,A,$434.23
Aaron Plews,+55 (240) 137-2969,Jayo,14.6.2021,44,C,$289.28
Ibbie Whitehouse,+98 (495) 896-6408,yambee ,20.4.2019,91,A,$335.74
